rank_by_estimated_users,rank_by_ai_share,rank_by_h1_to_h2_change,rank_by_h2_to_q1_change,rank_by_readiness,rank_by_access_headroom,rank_by_positive_diffusion_gap,rank_by_negative_diffusion_gap,country,microsoft_economy,code,region,income_group,ai_share_h1_2025_pct,ai_share_h2_2025_pct,ai_share_q1_2026_pct,h1_to_h2_change_pp,h2_to_q1_change_pp,h1_to_q1_change_pp,h1_to_h2_growth_pct,h2_to_q1_growth_pct,h1_to_q1_growth_pct,working_age_population_2025,working_age_population_2026,estimated_ai_users_h1_2025,estimated_ai_users_h2_2025,estimated_ai_users_q1_2026,estimated_user_change_h1_to_h2,estimated_user_change_h2_to_q1,estimated_user_change_h1_to_q1,internet_user_pct,internet_year,electricity_access_pct,electricity_year,gdp_per_capita_usd,gdp_year,gdp_readiness_score,readiness_score,access_ceiling_pct,access_headroom_users,internet_normalised_ai_intensity_pct,modelled_ai_share_q1_2026_pct,modelled_ai_users_q1_2026,diffusion_gap_pp,modelled_user_gap_q1_2026,offline_working_age_population,source_url
1,63,45,57,92,2,15,131,India,India,IND,South Asia,Lower middle income,14.2,15.7,17.6,1.5,1.9,3.400000000000002,10.563380281690142,12.101910828025492,23.943661971831002,1001696269,1013051552,142240870,157266314,178297073,15025444,21030759,36056203,64.9434967,2024,99.5,2023,2694.73780859961,2024,34.93241533494112,67.58040625198822,64.9434967,479614028,27.10048102476133,10.749987207707509,108902912,6.8500127922924925,69394161,355140451,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
2,67,67,147,39,1,129,17,China,China,CHN,East Asia & Pacific,Upper middle income,15.4,16.3,16.4,0.9000000000000004,0.1,0.9999999999999982,5.844155844155846,0.6134969325153243,6.493506493506482,986753852,989972734,151960093,160840878,162355528,8880785,1514650,10395435,92.0,2024,100.0,2023,13303.1481543868,2024,57.17146917623328,87.03429383524666,92.0,748419387,17.82608695652174,21.808688461914898,215900069,-5.408688461914899,-53544541,79197819,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
3,21,23,11,12,3,135,11,United States,United States,USA,North America,High income,26.3,28.3,31.3,2.0,3.0,5.0,7.604562737642586,10.60070671378092,19.011406844106464,224040586,224274040,58922674,63403486,70197775,4480812,6794289,11275101,94.69380188,2024,100.0,2023,84534.0407841548,2024,82.92673408147387,93.66693785029477,94.69380188,142175841,33.05390572411982,37.72738171852392,84612723,-6.427381718523922,-14414948,11900425,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
4,58,44,51,62,5,82,64,Brazil,Brazil,BRA,Latin America & Caribbean,Upper middle income,15.6,17.1,19.1,1.5000000000000018,2.0,3.5000000000000018,9.615384615384627,11.695906432748536,22.43589743589745,147123683,147306885,22951295,25158150,28135615,2206855,2977465,5184320,84.46347227,2024,99.8,2023,10310.5488778166,2024,53.62211773477355,82.12933329545471,84.46347227,96284895,22.61332560298258,19.270733919795312,28387118,-0.17073391979531038,-251503,22886375,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
5,77,64,73,85,4,73,73,Indonesia,Indonesia,IDN,East Asia & Pacific,Upper middle income,11.7,12.7,14.1,1.0,1.4,2.4000000000000004,8.547008547008547,11.023622047244098,20.512820512820518,194890392,196695714,22802176,24751080,27734096,1948904,2983016,4931920,72.78075544,2024,99.4,2023,4925.43048751861,2024,43.332624846972664,73.54594046139454,72.78075544,115422531,19.373253155669637,14.018704453547349,27574191,0.08129554645265102,159905,53539087,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
6,5,3,3,30,32,3,143,France,France,FRA,Europe & Central Asia,High income,40.9,44.0,47.8,3.1000000000000014,3.8,6.899999999999999,7.579462102689491,8.63636363636363,16.870415647921757,40812445,40792197,16692290,17957476,19498670,1265186,1541194,2806380,88.65381638,2024,100.0,2023,46103.0840855884,2024,74.48246030025382,88.65609106905076,88.65381638,16665169,53.9175886068042,31.179230737892766,12718693,16.62076926210723,6779977,4628358,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
7,8,8,8,16,20,10,136,United Kingdom,United Kingdom,GBR,Europe & Central Asia,High income,36.4,38.9,42.2,2.5,3.3,5.800000000000004,6.868131868131869,8.483290488431889,15.934065934065947,44048623,44295443,16033699,17134914,18692677,1101215,1557763,2658978,95.4720993,2024,100.0,2023,53246.3676145108,2024,76.48880485108366,92.80741558521673,95.4720993,23597112,44.201395286591335,33.518581823125196,14847204,8.681418176874807,3845473,2005654,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
8,34,14,12,68,15,7,139,Vietnam,Vietnam,VNM,East Asia & Pacific,Lower middle income,21.2,23.5,26.5,2.3000000000000007,3.0,5.300000000000001,10.849056603773588,12.76595744680851,25.000000000000007,68730843,69128402,14570939,16151748,18319027,1580809,2167279,3748088,84.15,2024,99.8,2023,4717.29028732449,2024,42.73124776853727,79.77874955370746,84.15,39852524,31.4913844325609,14.745256212904534,10193160,11.754743787095466,8125867,10956852,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
9,55,59,35,61,8,91,55,Mexico,Mexico,MEX,Latin America & Caribbean,Upper middle income,16.7,17.8,20.1,1.1000000000000014,2.3,3.400000000000002,6.586826347305398,12.921348314606746,20.359281437125762,88915722,89807923,14848926,15826999,18051393,978073,2224394,3202467,83.12233799,2024,99.7,2023,14185.7812248529,2024,58.066204772645214,82.25552684902905,83.12233799,56599053,24.181225511748867,21.23961353206972,19074856,-1.139613532069717,-1023463,15157478,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
10,91,102,93,100,7,38,108,Pakistan,Pakistan,PAK,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,9.7,10.3,11.4,0.6000000000000014,1.1,1.700000000000001,6.185567010309293,10.679611650485432,17.5257731958763,151585198,154978123,14703764,15613275,17667506,909511,2054231,2963742,57.253,2024,95.6,2023,1478.77277977996,2024,26.574302187199173,60.704010437439834,57.253,71062119,19.911620351771962,8.44099877570333,13081701,2.959001224296671,4585805,66248498,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
